,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT,NPD_eORCA025_ERA5,NPD_eORCA025_JRA55,EN4,ORAS5
1980-03-01,-1.0785710900951386,-0.7124552312140872,-1.1490465615830272,0.04699255951460237,0.26291070741452865,-0.4451929539558131,1.3383253708986393,0.7667709819120535,0.8054106481471942,0.10811784798475217,0.5951459176105334,0.4269360403290543,0.33532592790779087,0.2902986406481826,0.5837965374867279,0.25031571864510926
1980-04-01,-0.7253416418810134,-0.33338331568914564,-1.199488087552196,0.22452287524076234,0.33279008997365517,-0.49716766559874276,1.2542655151483995,0.759299950371036,1.115763954847738,-0.07975620887856183,0.4730858358787671,0.5138450385454394,0.41509664940895225,0.3305484642446859,0.5929631257245312,0.259324023264541
1980-05-01,-0.349188651876935,0.03115623851715915,-1.1120806462008606,0.4023715280436108,0.3558052549992867,-0.5487316951419191,1.2608452631862834,0.7371946725453942,1.3080472818603537,-0.486346705088057,0.47757941722380376,0.6414534541559206,0.5719455530205201,0.4727131609082144,0.7345150415402447,0.3232265679530931
1980-06-01,-0.08565241693974039,0.2819942128232285,-0.8502893545901841,0.3317125818253362,0.4702917501239507,-0.5863615808319653,1.1548217184074627,0.928670782286904,1.2304848680431435,-0.7766701640077143,0.28070563721240227,0.8359296400367212,0.5371882290580081,0.47115057381346626,0.7555675642978302,0.19001416732452647
1980-07-01,0.12672928651196994,0.44977382731913224,-0.58023493267883,0.2971643757867788,0.5122003702327288,-0.41147414454012504,0.9266781806926909,1.1716414363294045,1.1726144318795697,-0.4656097006355857,0.2086334913313415,0.922874803057621,0.39402435499015903,0.35098065841931086,0.7150702832680239,0.0010861897518592845
1980-08-01,0.3074106313874985,0.5442610463138623,-0.34062851997621385,0.32911778652831164,0.5036357320328497,-0.3119008284774926,0.7161502935378646,1.452634902644018,1.0352981650525919,-0.0014219073022673039,-0.07221102807626871,1.0713579011802414,0.1484445255791079,0.06408271101187997,0.5061800749243349,-0.20085338396154218
1980-09-01,0.24623271136211042,0.737593867409135,-0.3083511520147183,0.38560146850773375,0.44931046334539865,-0.2073611781051813,0.40072152478941847,1.5813994577695893,0.8751588255182599,0.17483854028148524,-0.14695852059247871,1.0004660577107372,0.010826751139310605,-0.1693786342924216,0.3089171261296009,-0.23388978314295747
1980-10-01,0.23855481697457925,0.9357162976125695,-0.4143790341930087,0.3838648636278008,0.3892996196021672,-0.15407025478896907,0.12963971774083313,1.6830781639440293,0.8257883969264205,0.16684502051247638,-0.26843774261981634,1.0374666538291175,-0.07775804184211603,-0.31960566011338204,0.2728994333356389,-0.2152151095162125
1980-11-01,0.27837525832819693,1.1295628956067272,-0.6440920110169045,0.3447586074986229,0.4159979944546211,-0.13387732930371224,-0.183239536428874,1.740630004863105,0.7927823560310058,0.17147846958989824,-0.2625733979997982,1.0344347016437243,-0.07319478806802193,-0.3469825142380903,0.2480867393108663,-0.17563235528843865
1980-12-01,0.46288419833514727,1.2544340605337705,-0.8649824310019065,0.4062787317070435,0.5738524508227273,-0.1266655492930234,-0.28478531478307806,1.7625363999636647,0.8929907288405298,0.24485433801787163,-0.4410427090407783,1.217264268015979,-0.18903794625301495,-0.3728862912370068,0.13624504484925215,-0.30839491474076725
