,HadGEM3-GC31-HH_CTRL,HadGEM3-GC31-HH_HIST-FUT,EC-Earth3P-HR_CTRL,EC-Earth3P-HR_HIST-FUT,CNRM-CM6-1-HR_CTRL,CNRM-CM6-1-HR_HIST-FUT,CMCC-CM2-VHR4_CTRL,CMCC-CM2-VHR4_HIST-FUT,MPI-ESM1-2-HR_CTRL,MPI-ESM1-2-HR_HIST-FUT,MPI-ESM1-2-XR_CTRL,MPI-ESM1-2-XR_HIST-FUT
2022-09-01,-0.373650263248913,-0.31271264811181376,0.1500871352043401,1.1370387419287917,0.451934103220286,0.13454310409582343,1.8517038681119005,1.3184763819234078,-0.14655003692129578,-0.8538395898470563,-0.16521726875645493,0.42511121599166973
2022-10-01,-0.436054706812653,-0.41841811068154633,0.11757505867115518,1.3932776919015615,0.4398271287215039,0.13297455275322337,1.6384080899408051,1.1386345269442406,0.055025004639431406,-0.7294273126442894,-0.30107144208185627,0.1349668102768598
2022-11-01,-0.538212458847823,-0.3600147879843553,0.14049148673303827,1.7479349811262053,0.5970212218292968,0.12843686473525598,1.5628431266600422,0.9261141829509528,0.1396651218255558,-0.8006884824094379,-0.26515771435379304,-0.1230852836438599
2022-12-01,-0.7170603669004804,-0.3027165754015441,0.16710397587672424,2.036739079710364,0.7767207112297728,0.1958726983703091,1.3802482845328055,0.6678895011344888,0.1667649314419961,-0.7837195878780858,-0.2742898552564003,-0.2731463650527317
2023-01-01,-0.9516602429591138,-0.31024808294909323,0.2570412317506698,2.0806079217511715,0.6472601457409694,0.1787933654195081,1.0966538123559155,0.3600891521939044,0.17614606411129427,-0.6253833161062331,-0.2652237931780448,-0.40476520103443453
2023-02-01,-1.2045292468563178,-0.3531843760395024,0.3239548423473284,1.7788083319508916,0.19334769880979155,0.1648818117824529,0.8605532650467845,0.046466358332241546,0.33939183723955074,-0.35662298463531944,-0.3396507127881537,-0.4087683981442533
2023-03-01,-1.3415801330970503,-0.5177014861058717,0.412620108637238,1.3380670226213842,-0.03830176676547151,0.1419628105599444,0.7622645097287569,-0.09987238496803275,0.45001843593021557,-0.13900994727812258,-0.30056115390547017,-0.17545541814658291
2023-04-01,-1.2417100314339369,-0.4408411951273563,0.5338056232271299,1.0567429605006886,-0.17896623562840142,0.23836230874478825,0.42813242303080745,-0.47986096929045363,0.5159757895930537,-0.036955781259656734,-0.24324896562536472,0.05933122796967891
2023-05-01,-1.028620889450507,-0.27170538066515976,0.6719438938126819,0.8381021002452286,-0.18345735572825195,0.4980749836512009,-0.4704566933230179,-0.9068221609946651,0.687617149388838,0.2313715051370765,-0.3178867537010564,0.10784082441160865
2023-06-01,-0.8735105578307273,0.08864656995428714,0.6859366010957743,0.636800182093703,-0.28992846366199654,0.725254520647947,-1.4111336555580236,-1.5470717109631227,1.000524143993067,0.6691123336697093,-0.4602723070803039,0.09520703881369186
2023-07-01,-0.7530044649504238,0.22904528133439736,0.6289427122783445,0.4399198698462327,-0.3982786955845749,0.7946384226072568,-1.9253606403349384,-1.879771861955127,1.3475640778964777,1.0750394916211186,-0.4696179037925034,0.21657667736918906
2023-08-01,-0.60033408609672,0.09657880806507901,0.6390139071516545,0.19295519887779713,-0.4354007981398877,0.6682280243126648,-1.9763439952327762,-2.0939619288171047,1.5239110857007956,1.298316577352529,-0.4254784444519884,0.5300914437289711
2023-09-01,-0.5014224152658683,-0.12755339300464513,0.8172743353430226,-0.046179784018696324,-0.6317684272242834,0.5366273297399522,-1.963115758276196,-2.108764814798269,1.6310797005127473,1.3406984725561142,-0.4120543994296355,0.7218494827608897
2023-10-01,-0.4854048659121933,-0.22348704245789294,0.9990487691070641,-0.32978289539219224,-0.6661928029124076,0.47288319408289664,-2.129174611518483,-2.0798763408272953,1.7825853295932308,1.3953888483024202,-0.561107529651355,0.7780188272801548
2023-11-01,-0.5086840753902587,-0.2048596159238921,1.0610131619122878,-0.4582012529433537,-0.8726716020472085,0.5072245561033625,-2.300717665185411,-2.053535447565521,2.002393437343595,1.4757119035223294,-0.7000872867749615,0.7811213167629384
2023-12-01,-0.5481566426087144,-0.065365143630864,1.0021700215129135,-0.5480601974630975,-0.9803298513335695,0.5595273743310218,-2.633839994784087,-2.1223936298688773,2.1239828397009113,1.590555039951802,-0.826557610912866,0.8161534294495589
2024-01-01,-0.5591479991939748,0.0024155497260871656,0.8660333266907254,-0.6922819121270082,-1.0902841588850434,0.6330488071841804,-2.9935220448730546,-2.1444683563005786,2.1058284589160805,1.6908968274043632,-0.8517452080018765,0.7303030412810733
2024-02-01,-0.49559311407854917,0.08053411730058117,0.6426527499051823,-0.7802564952587,-0.994242900648833,0.6187001134724458,-2.9706207308845287,-2.111369900843629,1.9299803231464168,1.8023576108041992,-0.8622768406166843,0.5831300347291845
2024-03-01,-0.49766564602686864,0.2955786343843365,0.5594978935252474,-0.8283474025035424,-0.8536017017810146,0.6561215201238172,-2.6430944916818357,-1.766250708526746,1.753710790075236,1.7699600147316505,-0.6505656803959482,0.5280823364302955
2024-04-01,-0.599117922239513,0.5622547576204623,0.4677123085102412,-0.7519017575454837,-0.7199092074369166,0.5670449094537814,-2.463110071326474,-1.463263211907697,1.7177542357579698,1.715877124336956,-0.3619705067888379,0.569034326931788
2024-05-01,-0.709114521336191,0.8312953048621526,0.48346870552565174,-0.5766384650848688,-0.573022111652249,0.3868101846161853,-2.4512590312518516,-1.042458908115446,1.7702515448061138,1.620177507735937,-0.08869345258839055,0.8044704536090159
2024-06-01,-0.6320127325245589,0.9654644140857643,0.36605797297177783,-0.2954703454616035,-0.4232952124274318,0.0896391306650961,-2.481343839483251,-0.7524608909710881,1.5246706906314438,1.667779316425764,-0.0781196441275913,1.191446702123507
2024-07-01,-0.5108986378179438,1.0393982105623245,0.36288807324826133,-0.10929472555346968,-0.3607809848421067,-0.11936939852618988,-2.3258044596343006,-0.3846960398981478,1.0436634746557878,1.5461912324439584,-0.2201267005089941,1.4319559804625401
2024-08-01,-0.3771134713770334,1.0647100556577809,0.2995874474376297,-0.06809531282504334,-0.37739584597756015,-0.13498325612934986,-2.3917056116889204,-0.17641407268449472,0.4455949049154048,1.3398849411803646,-0.306212824342357,1.3607421471026253
2024-09-01,-0.33963483893825047,1.03286257187939,0.42040486760804757,0.05271903747970594,-0.40573704906433555,-0.30366210485752854,-2.4990977682373003,-0.1909163821460239,0.18818842181146966,0.9468352039294259,-0.2707301430837911,1.0609046360080143
2024-10-01,-0.3608114527699211,0.961241802956204,0.4776679138354704,0.22672183779697253,-0.4177799894804453,-0.6139325217050767,-2.533393560667582,-0.23763384759136175,0.1345032390709441,0.7404657804274212,-0.19842449340695778,0.7964499665211128
2024-11-01,-0.4907636910421324,0.9304541217790243,0.6250303705639585,0.3608241512904804,-0.5143171864457915,-0.9086066315738845,-2.4398789058423294,-0.2147120976284144,0.2843522794757895,0.7959076502010124,-0.03527642973876408,0.7014287390316364
2024-12-01,-0.5734872927476269,0.8661641428083976,0.47708737039381716,0.3251213247443769,-0.6379569503577696,-0.9145349514042745,-2.288193253810569,0.09012080234687882,0.237732486452887,1.0810435092162114,0.12413431804259097,0.6951048254709825
2025-01-01,-0.48220405523659143,0.8488256079633736,0.36448889431131626,0.3716810347231137,-0.6087800541669535,-0.7687736771826028,-2.0107317333214123,0.45283568298602467,-0.08719536484491879,1.2534353246238252,0.18694780926798746,0.7827906138924043
2025-02-01,-0.3921886241244264,0.76541279245349,0.2413185476027476,0.5665952109658837,-0.4080350759331915,-0.6754318921420065,-1.531986312925004,0.8419139469906739,-0.7715501319913751,1.1740310993991157,0.2037703112451177,0.8399341003548261
2025-03-01,-0.20449407747885162,0.7180514891528113,0.12787182024700458,0.7189997925390395,-0.06658766122253294,-0.6374750260756594,-1.0754934697244993,0.9225552198099183,-1.3706038818479407,0.969068411410576,0.044221956513212014,0.5221747469983403
2025-04-01,-0.028804037099380175,0.6479230678830348,0.1139199721181454,0.9607377820258366,0.019115819404003104,-0.48553610211099524,-0.5922147366753486,0.9507113642562767,-1.5826574728514995,1.0208335897275933,0.015463882031030267,0.3637871936770806
